probe,face,x,y,z,Cp
265,Lateral+,0.01556,0.05165,0.11000,-0.51082
266,Lateral+,0.01556,0.05165,0.13000,-0.51891
267,Lateral+,0.01556,0.05165,0.15000,-0.52546
268,Lateral+,0.01556,0.05165,0.17000,-0.53063
269,Lateral+,0.01556,0.05165,0.19000,-0.53456
270,Lateral+,0.01556,0.05165,0.21000,-0.53794
271,Lateral+,0.01556,0.05165,0.23000,-0.54185
272,Lateral+,0.01556,0.05165,0.25000,-0.54622
273,Lateral+,0.01556,0.05165,0.27000,-0.54985
274,Lateral+,0.01556,0.05165,0.29000,-0.55181
275,Lateral+,0.01556,0.05165,0.31000,-0.55142
276,Lateral+,0.01556,0.05165,0.33000,-0.54815
277,Lateral+,0.01556,0.05165,0.35000,-0.54125
278,Lateral+,0.01556,0.05165,0.37000,-0.53233
279,Lateral+,0.01556,0.05165,0.39000,-0.52357
280,Lateral+,0.03548,0.05340,0.01000,-0.34182
281,Lateral+,0.03548,0.05340,0.03000,-0.41044
282,Lateral+,0.03548,0.05340,0.05000,-0.43580
283,Lateral+,0.03548,0.05340,0.07000,-0.43608
284,Lateral+,0.03548,0.05340,0.09000,-0.45329
285,Lateral+,0.03548,0.05340,0.11000,-0.45885
286,Lateral+,0.03548,0.05340,0.13000,-0.46265
287,Lateral+,0.03548,0.05340,0.15000,-0.46550
288,Lateral+,0.03548,0.05340,0.17000,-0.46695
289,Lateral+,0.03548,0.05340,0.19000,-0.46730
290,Lateral+,0.03548,0.05340,0.21000,-0.46776
291,Lateral+,0.03548,0.05340,0.23000,-0.46955
292,Lateral+,0.03548,0.05340,0.25000,-0.47388
293,Lateral+,0.03548,0.05340,0.27000,-0.47920
294,Lateral+,0.03548,0.05340,0.29000,-0.48290
295,Lateral+,0.03548,0.05340,0.31000,-0.48428
296,Lateral+,0.03548,0.05340,0.33000,-0.48137
297,Lateral+,0.03548,0.05340,0.35000,-0.47076
298,Lateral+,0.03548,0.05340,0.37000,-0.45014
299,Lateral+,0.03548,0.05340,0.39000,-0.42590
300,Lateral-,-0.03548,-0.05340,0.01000,-0.52524
301,Lateral-,-0.03548,-0.05340,0.03000,-0.50935
302,Lateral-,-0.03548,-0.05340,0.05000,-0.48299
303,Lateral-,-0.03548,-0.05340,0.07000,-0.46807
304,Lateral-,-0.03548,-0.05340,0.09000,-0.46815
305,Lateral-,-0.03548,-0.05340,0.11000,-0.46964
306,Lateral-,-0.03548,-0.05340,0.13000,-0.47024
307,Lateral-,-0.03548,-0.05340,0.15000,-0.46989
308,Lateral-,-0.03548,-0.05340,0.17000,-0.46953
309,Lateral-,-0.03548,-0.05340,0.19000,-0.47031
310,Lateral-,-0.03548,-0.05340,0.21000,-0.47291
311,Lateral-,-0.03548,-0.05340,0.23000,-0.47740
312,Lateral-,-0.03548,-0.05340,0.25000,-0.48346
313,Lateral-,-0.03548,-0.05340,0.27000,-0.49056
314,Lateral-,-0.03548,-0.05340,0.29000,-0.49794
315,Lateral-,-0.03548,-0.05340,0.31000,-0.50511
316,Lateral-,-0.03548,-0.05340,0.33000,-0.51427
317,Lateral-,-0.03548,-0.05340,0.35000,-0.51681
318,Lateral-,-0.03548,-0.05340,0.37000,-0.52018
319,Lateral-,-0.03548,-0.05340,0.39000,-0.52983
320,Lateral-,-0.01556,-0.05165,0.01000,-0.48912
321,Lateral-,-0.01556,-0.05165,0.03000,-0.50425
322,Lateral-,-0.01556,-0.05165,0.05000,-0.48833
323,Lateral-,-0.01556,-0.05165,0.07000,-0.47296
324,Lateral-,-0.01556,-0.05165,0.09000,-0.47291
325,Lateral-,-0.01556,-0.05165,0.11000,-0.47590
326,Lateral-,-0.01556,-0.05165,0.13000,-0.47808
327,Lateral-,-0.01556,-0.05165,0.15000,-0.47900
328,Lateral-,-0.01556,-0.05165,0.17000,-0.47947
329,Lateral-,-0.01556,-0.05165,0.19000,-0.48062
330,Lateral-,-0.01556,-0.05165,0.21000,-0.48326
331,Lateral-,-0.01556,-0.05165,0.23000,-0.48760
332,Lateral-,-0.01556,-0.05165,0.25000,-0.49339
333,Lateral-,-0.01556,-0.05165,0.27000,-0.50000
334,Lateral-,-0.01556,-0.05165,0.29000,-0.50663
335,Lateral-,-0.01556,-0.05165,0.31000,-0.51255
336,Lateral-,-0.01556,-0.05165,0.33000,-0.51753
337,Lateral-,-0.01556,-0.05165,0.35000,-0.52057
338,Lateral-,-0.01556,-0.05165,0.37000,-0.52293
339,Lateral-,-0.01556,-0.05165,0.39000,-0.53289
340,Lateral-,0.00437,-0.04991,0.01000,-0.42860
341,Lateral-,0.00437,-0.04991,0.03000,-0.48675
342,Lateral-,0.00437,-0.04991,0.05000,-0.47578
343,Lateral-,0.00437,-0.04991,0.07000,-0.46623
344,Lateral-,0.00437,-0.04991,0.09000,-0.47035
345,Lateral-,0.00437,-0.04991,0.11000,-0.47464
346,Lateral-,0.00437,-0.04991,0.13000,-0.47654
347,Lateral-,0.00437,-0.04991,0.15000,-0.47649
348,Lateral-,0.00437,-0.04991,0.17000,-0.47588
349,Lateral-,0.00437,-0.04991,0.19000,-0.47603
350,Lateral-,0.00437,-0.04991,0.21000,-0.47793
351,Lateral-,0.00437,-0.04991,0.23000,-0.48195
352,Lateral-,0.00437,-0.04991,0.25000,-0.48787
353,Lateral-,0.00437,-0.04991,0.27000,-0.49490
354,Lateral-,0.00437,-0.04991,0.29000,-0.50206
355,Lateral-,0.00437,-0.04991,0.31000,-0.50825
356,Lateral-,0.00437,-0.04991,0.33000,-0.51263
357,Lateral-,0.00437,-0.04991,0.35000,-0.51474
358,Lateral-,0.00437,-0.04991,0.37000,-0.51420
359,Lateral-,0.00437,-0.04991,0.39000,-0.52049
360,Lateral-,0.02429,-0.04817,0.01000,-0.39567
361,Lateral-,0.02429,-0.04817,0.03000,-0.45223
362,Lateral-,0.02429,-0.04817,0.05000,-0.44890
363,Lateral-,0.02429,-0.04817,0.07000,-0.44623
364,Lateral-,0.02429,-0.04817,0.09000,-0.45248
365,Lateral-,0.02429,-0.04817,0.11000,-0.45503
366,Lateral-,0.02429,-0.04817,0.13000,-0.45453
367,Lateral-,0.02429,-0.04817,0.15000,-0.45259
368,Lateral-,0.02429,-0.04817,0.17000,-0.45064
369,Lateral-,0.02429,-0.04817,0.19000,-0.44968
370,Lateral-,0.02429,-0.04817,0.21000,-0.45051
371,Lateral-,0.02429,-0.04817,0.23000,-0.45355
372,Lateral-,0.02429,-0.04817,0.25000,-0.45877
373,Lateral-,0.02429,-0.04817,0.27000,-0.46547
374,Lateral-,0.02429,-0.04817,0.29000,-0.47273
375,Lateral-,0.02429,-0.04817,0.31000,-0.47942
376,Lateral-,0.02429,-0.04817,0.33000,-0.48428
377,Lateral-,0.02429,-0.04817,0.35000,-0.48604
378,Lateral-,0.02429,-0.04817,0.37000,-0.48792
379,Lateral-,0.02429,-0.04817,0.39000,-0.49020
380,Lateral-,0.04421,-0.04642,0.01000,-0.38627
381,Lateral-,0.04421,-0.04642,0.03000,-0.42616
382,Lateral-,0.04421,-0.04642,0.05000,-0.41963
383,Lateral-,0.04421,-0.04642,0.07000,-0.44072
384,Lateral-,0.04421,-0.04642,0.09000,-0.45181
385,Lateral-,0.04421,-0.04642,0.11000,-0.46373
386,Lateral-,0.04421,-0.04642,0.13000,-0.47242
387,Lateral-,0.04421,-0.04642,0.15000,-0.47643
388,Lateral-,0.04421,-0.04642,0.17000,-0.47681
389,Lateral-,0.04421,-0.04642,0.19000,-0.47544
390,Lateral-,0.04421,-0.04642,0.21000,-0.47391
391,Lateral-,0.04421,-0.04642,0.23000,-0.47326
392,Lateral-,0.04421,-0.04642,0.25000,-0.47373
393,Lateral-,0.04421,-0.04642,0.27000,-0.47511
394,Lateral-,0.04421,-0.04642,0.29000,-0.47670
395,Lateral-,0.04421,-0.04642,0.31000,-0.47757
396,Lateral-,0.04421,-0.04642,0.33000,-0.47669
397,Lateral-,0.04421,-0.04642,0.35000,-0.47189
398,Lateral-,0.04421,-0.04642,0.37000,-0.46233
399,Lateral-,0.04421,-0.04642,0.39000,-0.44834
